=== 大模型评估成绩单 (Run ID: 20260331_150001) ===
AUC Score : 0.700246
uAUC Score: 0.690103
Accuracy  : 0.212880
Loss      : 0.630711
===========================================
真实标签(Label)	预测概率(SoftLabel)
1	-0.398193
1	-0.327148
0	-1.078125
1	0.325439
1	0.119385
0	-0.429443
1	1.392578
1	2.324219
1	1.818359
1	1.336914
1	2.146484
1	1.041016
1	0.648438
1	0.273438
0	-1.218750
1	-0.933594
1	-0.174561
0	0.006794
0	0.117188
1	-0.148926
1	0.381836
0	0.492432
1	0.273193
0	-0.126099
1	-0.312256
0	-0.922363
0	0.035217
1	-0.057861
1	0.645020
1	0.268066
0	0.284180
1	0.259766
1	0.409668
1	-0.169678
0	0.259766
1	0.177979
1	0.480469
0	0.005898
0	-0.235229
1	-0.330078
0	-0.149658
1	0.280273
0	-0.432617
1	0.048706
0	0.009041
1	-0.403320
0	-0.294922
0	0.146729
0	0.127319
0	0.120911
1	0.782715
1	-0.234619
1	0.105835
0	-0.048676
1	-0.084290
1	-0.285400
1	-0.029892
0	0.398926
0	-0.309326
1	0.192749
1	0.017609
0	-0.638672
1	-0.433838
1	-0.162720
0	0.081848
0	-0.338135
1	-0.708496
1	-0.272705
1	-0.388428
1	-0.000966
1	0.127686
1	-0.467041
0	-0.137573
0	-0.084106
0	0.208862
0	-0.455811
0	-0.376465
0	-0.053650
1	0.018341
1	-0.522461
1	0.235596
1	-0.131958
1	-0.525391
1	-0.204834
0	0.224731
1	0.049713
0	0.445312
0	0.179688
1	0.653809
0	0.411133
0	0.197144
0	-0.244629
1	-0.020370
1	0.050873
1	0.257080
0	0.136841
0	-0.522949
0	-0.378174
1	-0.175171
0	-0.013824
1	0.123779
1	0.703125
0	0.812012
1	0.474854
0	0.961914
1	0.447998
1	0.675293
0	0.103149
1	0.295654
1	0.767578
1	0.557617
0	0.572266
1	0.529785
1	-0.514648
1	0.448486
1	0.410889
1	1.164062
0	0.561523
0	0.129395
1	0.659180
0	-0.889648
0	-0.173218
0	0.085266
0	-0.597168
0	-0.991699
0	-1.126953
0	-0.944336
0	0.041534
1	0.972656
1	0.399902
0	0.562500
0	0.906250
0	-0.011505
1	0.607422
1	1.214844
0	-0.708984
0	0.684570
0	-1.632812
0	-1.177734
0	-0.043793
0	-0.962891
0	-0.263916
0	-0.186523
0	-1.272461
0	-0.817383
0	-0.766113
0	-1.149414
0	-0.103577
1	-1.023438
0	-1.319336
1	-0.131348
0	-0.110657
0	-0.233765
0	0.142334
0	-0.114929
0	-0.637207
1	0.001712
1	-0.131592
0	0.382080
0	-0.851562
0	0.191406
0	-1.249023
1	-0.781250
0	0.498535
0	0.651855
0	0.506348
0	-0.919434
1	-0.687012
1	0.363770
0	0.139893
0	-0.368408
1	-0.333008
0	0.112000
0	0.547363
1	0.060089
0	-0.447021
0	-0.072021
0	-0.220947
0	-0.379150
1	0.449951
1	1.102539
0	0.766113
0	0.282227
0	0.309814
1	-0.357422
1	0.374023
1	0.371582
0	0.225098
0	0.530273
0	0.627441
0	0.593262
1	0.341797
0	0.511719
1	-0.516113
0	-0.305908
1	-0.222412
0	-0.502441
1	-0.204102
0	-0.882324
0	-1.278320
0	-1.057617
0	-0.638184
0	-0.987793
1	0.873535
1	0.470947
1	0.119751
1	0.388184
1	0.813477
0	0.275146
0	0.167236
1	0.642090
1	0.385254
1	0.104553
1	0.463867
1	0.693848
1	0.323486
1	0.767090
1	0.272217
1	0.718750
1	1.055664
0	1.469727
1	0.818848
1	1.610352
1	1.324219
0	0.867188
1	0.057343
1	1.418945
1	1.506836
1	-0.095337
1	0.980957
1	-0.100708
1	-0.511719
0	-0.157593
1	-0.789551
0	-0.234253
0	1.480469
1	0.957520
1	0.211182
0	-0.076660
0	0.204834
0	-0.577637
1	0.505371
0	-0.239990
1	0.150757
1	-0.093201
1	-0.137695
1	-1.072266
1	0.334717
1	0.570312
1	0.582031
0	1.722656
0	0.856934
0	1.338867
1	0.697754
0	0.570801
1	-0.051544
1	1.212891
1	1.293945
1	0.134644
1	-0.368408
1	1.382812
1	1.105469
1	1.508789
1	1.517578
1	0.211548
1	0.946777
1	0.909180
1	0.760254
1	0.576660
1	0.453369
1	0.870605
1	0.833008
1	0.871582
1	0.858887
1	0.881836
1	0.242065
1	-0.273682
0	-0.154541
1	0.181641
1	0.683105
1	-0.239868
1	1.252930
1	0.310059
1	1.029297
1	-0.140137
1	-0.689941
0	-0.543457
1	0.819336
1	1.386719
1	0.984863
1	0.587891
1	0.771484
1	0.361084
1	0.030243
1	-0.333740
0	0.541016
0	-0.184326
0	-0.476318
1	-0.330078
0	0.478516
0	-0.539551
0	-0.609375
1	-0.130371
0	-0.203979
1	-0.136108
1	-0.662109
1	-0.158203
0	-0.454346
0	-0.972168
1	-0.590332
1	0.861328
1	0.836426
1	0.882812
1	-0.157227
1	0.479980
1	0.261963
1	0.065491
1	0.296631
1	0.157593
1	0.036163
1	0.539551
1	0.530273
1	0.504883
1	0.903320
1	0.169067
1	-0.293213
1	0.829102
1	0.212402
0	-0.085510
1	-0.599609
1	0.221313
1	0.455322
1	0.603027
1	0.202515
1	0.351074
1	-0.761719
1	-1.021484
1	-0.978027
1	0.004280
1	0.349121
1	-0.306641
1	0.193726
0	-0.897949
1	1.379883
0	0.908691
0	-0.139160
1	1.083008
1	1.053711
1	0.697266
1	0.027115
1	0.618164
0	0.232544
1	0.545410
1	0.717773
1	0.419189
0	-0.238403
1	-0.312256
1	-0.048981
0	0.545898
1	0.543457
0	-0.166138
1	0.224243
1	-0.185547
1	-0.029312
1	0.019058
1	0.581055
0	-0.371338
0	-0.083557
1	0.102539
0	-0.654785
1	-0.206177
0	0.678711
0	0.063477
1	0.102295
1	-0.475098
1	0.085266
0	0.374512
0	0.145264
1	0.852051
1	-0.130005
1	-0.033447
0	0.052094
1	0.526855
0	0.222168
0	0.062012
1	0.022308
1	-0.363770
0	-1.014648
0	-0.659668
1	-1.021484
0	-1.456055
0	-0.705078
0	-0.179321
0	-0.334473
0	-0.447510
0	-0.333984
0	-0.450684
0	-0.250000
0	-0.294678
1	-0.546875
1	-0.475342
1	0.028473
0	0.245850
0	-0.498047
1	0.592285
1	-1.095703
1	0.039581
1	0.236572
0	-0.453613
1	-0.623535
1	1.290039
0	1.758789
1	-0.214844
1	1.452148
1	1.279297
1	1.639648
1	1.251953
1	1.378906
1	-0.086182
1	0.042908
1	0.628418
1	1.738281
1	0.249878
0	0.386963
0	2.171875
0	-1.513672
1	2.126953
1	1.959961
1	1.940430
1	1.610352
1	2.169922
1	1.781250
0	-0.887207
1	2.519531
0	-1.085938
1	1.166992
1	-0.257812
0	-3.789062
1	0.752441
0	1.142578
0	1.539062
0	0.020905
0	-1.919922
0	-1.679688
0	-2.189453
1	1.551758
0	-0.250977
1	1.905273
1	-1.293945
1	1.640625
1	-0.964355
0	1.547852
1	-0.073608
1	0.308105
1	0.680664
1	0.902832
1	-0.280762
1	-0.548828
1	0.770996
0	-0.273682
0	-0.473877
1	0.394531
0	0.588867
0	-0.540527
0	-0.606934
0	-1.134766
1	-1.055664
0	-0.874512
0	-0.508789
0	-1.710938
0	-1.164062
0	-0.308838
0	-1.236328
0	-0.601562
0	-0.889648
1	-1.008789
0	-1.141602
1	-0.125732
0	-0.129395
0	-0.423096
1	-0.595215
1	-0.222656
1	-0.368896
1	-0.936523
0	-0.868164
0	-1.141602
0	-0.639648
1	-0.098938
1	-1.262695
1	0.875488
0	0.316650
1	-0.165283
0	0.827148
1	0.420166
0	0.326172
1	0.736816
1	0.024460
1	-0.008385
1	-0.446289
0	0.193848
0	0.268066
0	0.079773
1	-0.042358
0	-0.026154
1	-0.077393
1	0.155029
0	-0.627441
0	0.046295
0	0.066711
0	-0.997559
0	-0.759766
0	-0.514648
1	-0.680664
1	-0.431641
1	-0.329834
1	-0.563477
1	-0.419678
0	-0.587891
1	-0.894043
0	-0.448486
1	-0.539551
1	-0.375244
0	-0.979492
0	-0.646484
1	-1.536133
1	-0.853027
0	-0.322754
1	-0.466309
0	-0.861328
1	-0.289062
1	0.062561
0	-0.632324
1	-0.657227
1	-0.322021
1	-0.961914
0	-0.898926
0	-0.666016
0	-0.812012
1	-0.724121
0	-0.758301
0	-1.585938
0	-1.180664
0	-0.304443
0	-0.848633
0	-0.880859
1	-0.513672
0	-0.745605
1	-0.767090
1	-0.869141
1	-0.668457
1	0.776367
0	-0.064331
1	0.430908
1	0.759766
0	-0.835938
1	-0.052429
1	-1.253906
0	-0.666016
0	-0.246094
0	-0.059967
0	-0.900879
1	0.228394
0	-0.134399
0	0.202515
0	-0.053589
0	-0.480469
0	-0.490723
0	-0.409912
0	-0.595703
1	0.135498
0	-0.719727
0	-0.691895
0	-1.778320
1	-0.050049
0	-1.056641
0	-0.130981
0	-0.064697
1	0.259033
1	0.434570
1	-0.298584
0	0.221191
1	0.389893
1	1.804688
1	1.716797
1	0.541992
1	0.617188
1	1.373047
1	1.232422
1	1.208984
1	0.240234
1	1.660156
1	0.428223
1	1.272461
1	1.251953
1	1.244141
1	0.461670
1	0.681641
1	1.635742
1	0.552734
1	-0.326904
1	0.005863
1	0.517578
1	0.769531
1	1.171875
0	-1.112305
0	-1.745117
0	-1.127930
0	-1.183594
0	-2.085938
0	-1.786133
0	-1.503906
0	-1.856445
0	-0.470703
0	-0.010078
1	0.130493
